invoice_KEY,update__staff_KEY,update_date_utc,client_KEY,client__client_id,client__client_id_sortable,client__description,client__office__office_id,client__partner__staff__staff_id,client__manager__staff__staff_id,invoice_number,reference,invoice_date,due_date,digita_tax_point_date_override,digita_proforma__ledger_entry_KEY,comments,billed_date,billed__staff_KEY,billed__staff__staff_id,approved_date,approved__staff_KEY,approved__staff__staff_id,posted_date,posted__staff_KEY,posted__staff__staff_id,amount,posted_open_amount,time_amount_billed,time_amount_adjusted,expense_amount_billed,expense_amount_adjusted,progress_amount_billed,surcharge,discount,sales_tax,service_tax,ledger_entry_KEY,printed,report_definition_KEY,invoice_format,invoice_format_storage_style_KEY,positive_invoiced,negative_invoiced,positive_nonprogress_invoiced,negative_nonprogress_invoiced,positive_progress_invoiced,negative_progress_invoiced,ledger_entry_subtype_KEY
84,62,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,3557,,01/31/2014,02/20/2014,,,,02/04/2014,61,2014HM,02/05/2014,61,2014HM,02/05/2014,61,2014HM,306.25,0,306.25,0,0,0,0,0,0,0,0,84,TRUE,333,,3,306.25,0,306.25,0,0,0,1
125,61,04/09/2020,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,61125,,03/31/2020,04/20/2020,,,,04/04/2020,94,4081OL,04/08/2020,61,2014HM,04/09/2020,61,2014HM,105,0,105,0,0,0,0,0,0,0,0,125,TRUE,147,,3,105,0,105,0,0,0,1
146,76,01/02/2018,5,34283535000,34283535000                              `,HorizonBank Corp,IDMV,4380LH,2505CC,22023,,04/29/2016,05/19/2016,,,,04/29/2016,76,4337JW,05/04/2016,61,2014HM,05/04/2016,61,2014HM,943,0,943,0,0,0,0,0,0,0,0,146,TRUE,147,,3,943,0,943,0,0,0,1
8,78,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,9522,,09/30/2014,10/20/2014,,,,10/07/2014,61,2014HM,10/08/2014,61,2014HM,10/08/2014,61,2014HM,247.25,0,247.25,0,0,0,0,0,0,0,0,8,TRUE,331,,3,247.25,0,247.25,0,0,0,1
547,83,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,9931,,10/31/2014,11/20/2014,,,,11/03/2014,61,2014HM,11/06/2014,61,2014HM,11/07/2014,61,2014HM,476,0,476,0,0,0,0,0,0,0,0,547,TRUE,331,,3,476,0,476,0,0,0,1
9,64,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,10475,,11/28/2014,12/18/2014,,,,11/26/2014,61,2014HM,12/03/2014,61,2014HM,12/04/2014,61,2014HM,402.5,0,402.5,0,0,0,0,0,0,0,0,9,TRUE,331,,3,402.5,0,402.5,0,0,0,1
10,82,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,11629,,01/31/2015,02/20/2015,,,,02/03/2015,101,2776SL,02/05/2015,61,2014HM,02/06/2015,61,2014HM,155.25,0,155.25,0,0,0,0,0,0,0,0,10,TRUE,331,,3,155.25,0,155.25,0,0,0,1
11,64,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,14544,,04/30/2015,05/20/2015,,,,05/04/2015,101,2776SL,05/05/2015,61,2014HM,05/07/2015,61,2014HM,201.25,0,201.25,0,0,0,0,0,0,0,0,11,TRUE,331,,3,201.25,0,201.25,0,0,0,1
13,76,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,18114,,10/31/2015,11/20/2015,,,,11/04/2015,101,2776SL,11/06/2015,61,2014HM,11/06/2015,61,2014HM,402.5,0,402.5,0,0,0,0,0,0,0,0,13,TRUE,331,,3,402.5,0,402.5,0,0,0,1
14,76,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,19253,,12/31/2015,01/20/2016,,,,01/12/2016,101,2776SL,01/13/2016,61,2014HM,01/13/2016,61,2014HM,166.75,0,166.75,0,0,0,0,0,0,0,0,14,TRUE,331,,3,166.75,0,166.75,0,0,0,1
15,106,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,19778,,01/31/2016,02/20/2016,,,,02/07/2016,101,2776SL,02/10/2016,61,2014HM,02/10/2016,61,2014HM,103.5,0,103.5,0,0,0,0,0,0,0,0,15,TRUE,331,,3,103.5,0,103.5,0,0,0,1
16,61,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,22301,,04/30/2016,05/20/2016,,,,05/02/2016,101,2776SL,05/04/2016,61,2014HM,05/04/2016,61,2014HM,1271,0,1271,0,0,0,0,0,0,0,0,16,TRUE,147,,3,1271,0,1271,0,0,0,1
17,61,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,23508,,05/31/2016,06/20/2016,,,,06/03/2016,101,2776SL,06/06/2016,61,2014HM,06/06/2016,61,2014HM,1695,0,1695,0,0,0,0,0,0,0,0,17,TRUE,331,,3,1695,0,1695,0,0,0,1
19,61,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,24892,,08/31/2016,09/20/2016,,,,09/07/2016,61,2014HM,09/09/2016,61,2014HM,09/12/2016,61,2014HM,108,0,108,0,0,0,0,0,0,0,0,19,TRUE,331,,3,108,0,108,0,0,0,1
20,102,01/01/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,28245,,01/31/2017,02/20/2017,,,,02/05/2017,61,2014HM,02/05/2017,61,2014HM,02/06/2017,61,2014HM,599.25,0,599.25,0,0,0,0,0,0,0,0,20,TRUE,331,,3,599.25,0,599.25,0,0,0,1
1,61,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,500,,06/30/2013,06/30/2013,,,,07/12/2013,101,2776SL,07/12/2013,61,2014HM,07/15/2013,61,2014HM,441.5,0,441.5,0,0,0,0,0,0,0,0,1,TRUE,163,,3,441.5,0,441.5,0,0,0,1
2,62,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,1102,,08/31/2013,08/31/2013,,,,09/06/2013,61,2014HM,09/10/2013,61,2014HM,09/10/2013,61,2014HM,75.6,0,75.6,0,0,0,0,0,0,0,0,2,TRUE,147,,3,75.6,0,75.6,0,0,0,1
3,106,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,2227,,10/31/2013,10/31/2013,,,,11/05/2013,101,2776SL,11/06/2013,61,2014HM,11/06/2013,61,2014HM,178.75,0,178.75,0,0,0,0,0,0,0,0,3,TRUE,163,,3,178.75,0,178.75,0,0,0,1
4,61,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,2677,,11/30/2013,11/30/2013,,,,12/04/2013,61,2014HM,12/05/2013,61,2014HM,12/05/2013,61,2014HM,144,0,144,0,0,0,0,0,0,0,0,4,TRUE,147,,3,144,0,144,0,0,0,1
5,12,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,3001,,12/31/2013,12/31/2013,,,,01/04/2014,61,2014HM,01/08/2014,61,2014HM,01/08/2014,61,2014HM,140,0,140,0,0,0,0,0,0,0,0,5,TRUE,147,,3,140,0,140,0,0,0,1
6,61,01/02/2018,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,5446,,03/31/2014,04/20/2014,,,,04/04/2014,61,2014HM,04/04/2014,61,2014HM,04/05/2014,61,2014HM,220,0,220,0,0,0,0,0,0,0,0,6,TRUE,331,,3,220,0,220,0,0,0,1
552,61,01/02/2018,6,30923067000,30923067000                              `,MarketMingle Stores,IDMV,4380LH,2505CC,22850,,05/05/2016,05/25/2016,,,,05/05/2016,76,4337JW,05/05/2016,61,2014HM,05/05/2016,61,2014HM,4599.1,0,4599.1,0,0,0,0,0,0,0,0,552,TRUE,147,,3,4599.1,0,4599.1,0,0,0,1
161,78,01/02/2018,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,IDMV,4380LH,2505CC,8694,,08/31/2014,09/20/2014,,,,09/10/2014,79,2156OH,09/10/2014,61,2014HM,09/10/2014,61,2014HM,142.5,0,142.5,0,0,0,0,0,0,0,0,161,TRUE,147,,3,142.5,0,142.5,0,0,0,1
162,76,01/02/2018,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,IDMV,4380LH,2505CC,14140,,04/27/2015,05/17/2015,,,,04/27/2015,76,4337JW,05/05/2015,61,2014HM,05/07/2015,61,2014HM,1687.5,0,1687.5,0,0,0,0,0,0,0,0,162,TRUE,147,,3,1687.5,0,1687.5,0,0,0,1
163,61,01/02/2018,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,IDMV,4380LH,2505CC,22024,,04/29/2016,05/19/2016,,,,04/29/2016,76,4337JW,05/04/2016,61,2014HM,05/04/2016,61,2014HM,1241,0,1241,0,0,0,0,0,0,0,0,163,TRUE,147,,3,1241,0,1241,0,0,0,1
226,61,09/09/2020,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,65626,,08/31/2020,09/20/2020,,,,08/28/2020,102,2952NF,09/09/2020,61,2014HM,09/09/2020,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,226,TRUE,1413,,2,650,0,0,0,650,0,1
227,61,10/14/2020,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,66245,,09/30/2020,10/20/2020,,,,09/28/2020,102,2952NF,10/14/2020,61,2014HM,10/14/2020,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,227,TRUE,1413,,2,650,0,0,0,650,0,1
232,61,04/09/2021,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,73033,,03/31/2021,04/20/2021,,,,03/22/2021,61,2014HM,04/09/2021,61,2014HM,04/09/2021,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,232,TRUE,1413,,2,650,0,0,0,650,0,1
233,61,04/25/2021,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,74578,,04/20/2021,05/10/2021,,,,04/23/2021,61,2014HM,04/25/2021,61,2014HM,04/25/2021,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,233,TRUE,1413,,2,650,0,0,0,650,0,1
234,61,05/18/2021,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,75921,,05/13/2021,06/02/2021,,,,05/13/2021,61,2014HM,05/18/2021,61,2014HM,05/18/2021,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,234,TRUE,1413,,2,650,0,0,0,650,0,1
170,61,01/02/2018,11,37285951500,37285951500                              `,TrustTide Banking,WACL,3321MC,4081OL,19019,,12/31/2015,01/20/2016,,,,01/07/2016,94,4081OL,01/13/2016,70,3321MC,01/13/2016,61,2014HM,520,0,520,0,0,0,0,0,0,0,0,170,TRUE,147,,3,520,0,520,0,0,0,1
173,104,01/01/2018,11,37285951500,37285951500                              `,TrustTide Banking,WACL,3321MC,4081OL,28004,,01/31/2017,02/20/2017,,,,02/02/2017,94,4081OL,02/03/2017,70,3321MC,02/04/2017,61,2014HM,101.25,0,101.25,0,0,0,0,0,0,0,0,173,TRUE,147,,3,101.25,0,101.25,0,0,0,1
86,61,01/02/2018,4,27956983500,27956983500                              `,WealthWave Advisors,IDMV,4081OL,4081OL,7680,,05/31/2014,06/20/2014,,,,06/05/2014,61,2014HM,06/06/2014,47,4648IS,06/06/2014,61,2014HM,80,0,80,0,0,0,0,0,0,0,0,86,TRUE,1392,,3,80,0,80,0,0,0,1
69,61,04/17/2019,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,50797,,04/17/2019,05/07/2019,,,,04/17/2019,76,4337JW,04/17/2019,76,4337JW,04/17/2019,61,2014HM,880,0,880,0,0,0,0,0,0,0,0,69,TRUE,147,,3,880,0,880,0,0,0,1
200,61,04/17/2019,10,32626342500,32626342500                              `,SummitStone Financial,IDMV,4380LH,2505CC,50690,,04/17/2019,05/07/2019,,,,04/17/2019,76,4337JW,04/17/2019,76,4337JW,04/17/2019,61,2014HM,791.25,0,791.25,0,0,0,0,0,0,0,0,200,TRUE,147,,3,791.25,0,791.25,0,0,0,1
166,61,04/17/2019,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,IDMV,4380LH,2505CC,50682,,04/17/2019,05/07/2019,,,,04/17/2019,76,4337JW,04/17/2019,76,4337JW,04/17/2019,61,2014HM,1152.5,0,1152.5,0,0,0,0,0,0,0,0,166,TRUE,147,,3,1152.5,0,1152.5,0,0,0,1
156,61,04/17/2019,6,30923067000,30923067000                              `,MarketMingle Stores,IDMV,4380LH,2505CC,50668,,04/17/2019,05/07/2019,,,,04/17/2019,76,4337JW,04/17/2019,76,4337JW,04/17/2019,61,2014HM,4932.25,0,4932.25,0,0,0,0,0,0,0,0,156,TRUE,147,,3,4932.25,0,4932.25,0,0,0,1
149,61,04/17/2019,5,34283535000,34283535000                              `,HorizonBank Corp,IDMV,4380LH,2505CC,50684,,04/17/2019,05/07/2019,,,,04/17/2019,76,4337JW,04/17/2019,76,4337JW,04/17/2019,61,2014HM,1102.5,0,1102.5,0,0,0,0,0,0,0,0,149,TRUE,147,,3,1102.5,0,1102.5,0,0,0,1
223,61,06/17/2020,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,63284,,05/31/2020,06/20/2020,,,,05/27/2020,102,2952NF,06/17/2020,58,2994LL,06/17/2020,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,223,TRUE,1413,,2,650,0,0,0,650,0,1
224,61,07/23/2020,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,63804,,06/30/2020,07/20/2020,,,,06/26/2020,102,2952NF,07/20/2020,58,2994LL,07/22/2020,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,224,TRUE,1413,,2,650,0,0,0,650,0,1
221,61,04/11/2020,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,60833,,03/31/2020,04/20/2020,,,,03/26/2020,102,2952NF,04/10/2020,58,2994LL,04/11/2020,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,221,TRUE,1413,,2,650,0,0,0,650,0,1
230,61,01/13/2021,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,69029,,12/31/2020,01/20/2021,,,,12/31/2020,61,2014HM,01/11/2021,58,2994LL,01/12/2021,61,2014HM,650,0,0,0,0,0,650,0,0,0,0,230,TRUE,1413,,2,650,0,0,0,650,0,1
153,78,01/02/2018,6,30923067000,30923067000                              `,MarketMingle Stores,IDMV,4380LH,2505CC,7816,,06/30/2014,07/20/2014,,,,07/02/2014,47,4648IS,07/08/2014,61,2014HM,07/08/2014,47,4648IS,238,0,238,0,0,0,0,0,0,0,0,153,TRUE,147,,3,238,0,238,0,0,0,1
213,102,07/05/2018,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,42654,,06/30/2018,07/20/2018,,,,07/04/2018,58,2994LL,07/05/2018,73,4831LC,07/05/2018,102,2952NF,156.5,0,156.5,0,0,0,0,0,0,0,0,213,TRUE,147,,3,156.5,0,156.5,0,0,0,1
207,102,01/08/2018,14,29405385000,29405385000                              `,VistaVogue Outlets,IDMV,2505CC,4219LH,36450,,12/31/2017,01/20/2018,,,,01/03/2018,58,2994LL,01/08/2018,73,4831LC,01/08/2018,102,2952NF,302.25,0,302.25,0,0,0,0,0,0,0,0,207,TRUE,147,,3,302.25,0,302.25,0,0,0,1
191,102,01/09/2020,8,39481843500,39481843500                              `,UrbanTrend Retailers,WACL,3321MC,4081OL,58512,,12/31/2019,01/20/2020,,,,01/08/2020,94,4081OL,01/09/2020,70,3321MC,01/09/2020,102,2952NF,340,0,340,0,0,0,0,0,0,0,0,191,TRUE,147,,3,340,0,340,0,0,0,1
176,102,03/10/2019,11,37285951500,37285951500                              `,TrustTide Banking,WACL,3321MC,4081OL,49218,,02/28/2019,03/20/2019,,,,03/07/2019,94,4081OL,03/09/2019,70,3321MC,03/09/2019,102,2952NF,1347.5,0,1347.5,0,0,0,0,0,0,0,0,176,TRUE,147,,3,1347.5,0,1347.5,0,0,0,1
147,102,12/31/2017,5,34283535000,34283535000                              `,HorizonBank Corp,IDMV,4380LH,2505CC,30472,,04/30/2017,05/20/2017,,,,05/02/2017,76,4337JW,05/08/2017,102,2952NF,05/08/2017,102,2952NF,1042.2,0,1042.2,0,0,0,0,0,0,0,0,147,TRUE,147,,3,1042.2,0,1042.2,0,0,0,1
148,102,03/02/2018,5,34283535000,34283535000                              `,HorizonBank Corp,IDMV,4380LH,2505CC,38085,,03/01/2018,03/21/2018,,,,03/01/2018,76,4337JW,03/02/2018,102,2952NF,03/02/2018,102,2952NF,1060,0,1060,0,0,0,0,0,0,0,0,148,TRUE,147,,3,1060,0,1060,0,0,0,1
157,102,01/17/2020,6,30923067000,30923067000                              `,MarketMingle Stores,IDMV,4380LH,2505CC,58381,,01/08/2020,01/28/2020,,,,01/17/2020,76,4337JW,01/17/2020,102,2952NF,01/17/2020,102,2952NF,1453.25,0,1453.25,0,0,0,0,0,0,0,0,157,TRUE,163,,3,1453.25,0,1453.25,0,0,0,1
553,83,12/31/2017,6,30923067000,30923067000                              `,MarketMingle Stores,IDMV,4380LH,2505CC,31863,,05/31/2017,06/20/2017,,,,06/05/2017,76,4337JW,06/07/2017,102,2952NF,06/07/2017,102,2952NF,4107.75,0,4107.75,0,0,0,0,0,0,0,0,553,TRUE,147,,3,4107.75,0,4107.75,0,0,0,1
554,102,04/01/2018,6,30923067000,30923067000                              `,MarketMingle Stores,IDMV,4380LH,2505CC,38765,,03/24/2018,04/13/2018,,,,03/24/2018,76,4337JW,03/30/2018,102,2952NF,04/01/2018,102,2952NF,5321.5,0,5321.5,0,0,0,0,0,0,0,0,554,TRUE,147,,3,5321.5,0,5321.5,0,0,0,1
155,102,11/09/2018,6,30923067000,30923067000                              `,MarketMingle Stores,IDMV,4380LH,2505CC,45810,,11/08/2018,11/28/2018,,,,11/08/2018,76,4337JW,11/09/2018,102,2952NF,11/09/2018,102,2952NF,951.25,0,951.25,0,0,0,0,0,0,0,0,155,TRUE,147,,3,951.25,0,951.25,0,0,0,1
164,102,12/31/2017,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,IDMV,4380LH,2505CC,30474,,04/30/2017,05/20/2017,,,,05/02/2017,76,4337JW,05/08/2017,102,2952NF,05/08/2017,102,2952NF,885.95,0,885.95,0,0,0,0,0,0,0,0,164,TRUE,147,,3,885.95,0,885.95,0,0,0,1
165,102,03/02/2018,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,IDMV,4380LH,2505CC,38092,,03/01/2018,03/21/2018,,,,03/01/2018,76,4337JW,03/02/2018,102,2952NF,03/02/2018,102,2952NF,900,0,900,0,0,0,0,0,0,0,0,165,TRUE,147,,3,900,0,900,0,0,0,1
198,102,12/31/2017,10,32626342500,32626342500                              `,SummitStone Financial,IDMV,4380LH,2505CC,30465,,04/30/2017,05/20/2017,,,,05/02/2017,76,4337JW,05/08/2017,102,2952NF,05/08/2017,102,2952NF,837.25,0,837.25,0,0,0,0,0,0,0,0,198,TRUE,147,,3,837.25,0,837.25,0,0,0,1
548,102,05/04/2018,3,35909826000,35909826000                              `,SeedlingSuccess Agritech,IDMV,4380LH,2505CC,40555,,04/30/2018,05/20/2018,,,,04/30/2018,76,4337JW,05/03/2018,102,2952NF,05/04/2018,102,2952NF,902,0,902,0,0,0,0,0,0,0,0,548,TRUE,147,,3,902,0,902,0,0,0,1
67,76,12/30/2017,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,34753,,10/25/2017,11/14/2017,,,,11/07/2017,76,4337JW,11/07/2017,102,2952NF,11/07/2017,102,2952NF,402.5,0,402.5,0,0,0,0,0,0,0,0,67,TRUE,147,,3,402.5,0,402.5,0,0,0,1
293,102,05/04/2018,12,25103704500,25103704500                              `,ProsperPath Investments,IDMV,4380LH,2505CC,40569,,04/30/2018,05/20/2018,,,,04/30/2018,76,4337JW,05/03/2018,102,2952NF,05/04/2018,102,2952NF,243.75,0,243.75,0,0,0,0,0,0,0,0,293,TRUE,147,,3,243.75,0,243.75,0,0,0,1
34,102,02/08/2019,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,48174,,01/31/2019,02/20/2019,,,,02/05/2019,94,4081OL,02/08/2019,102,2952NF,02/08/2019,102,2952NF,305,0,305,0,0,0,0,0,0,0,0,34,TRUE,331,,3,305,0,305,0,0,0,1
36,102,09/10/2019,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,54840,,09/09/2019,09/29/2019,,,,09/09/2019,94,4081OL,09/10/2019,102,2952NF,09/10/2019,102,2952NF,572.5,0,572.5,0,0,0,0,0,0,0,0,36,TRUE,331,,3,572.5,0,572.5,0,0,0,1
37,102,11/12/2019,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,57047,,10/31/2019,11/20/2019,,,,11/11/2019,61,2014HM,11/12/2019,102,2952NF,11/12/2019,102,2952NF,315,0,315,0,0,0,0,0,0,0,0,37,TRUE,331,,3,315,0,315,0,0,0,1
38,102,12/05/2019,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,57322,,11/30/2019,12/20/2019,,,,12/03/2019,94,4081OL,12/05/2019,102,2952NF,12/05/2019,102,2952NF,175,0,175,0,0,0,0,0,0,0,0,38,TRUE,331,,3,175,0,175,0,0,0,1
41,102,07/20/2020,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,63922,,06/30/2020,07/20/2020,,,,07/06/2020,94,4081OL,07/20/2020,102,2952NF,07/20/2020,102,2952NF,385,0,385,0,0,0,0,0,0,0,0,41,TRUE,331,,3,385,0,385,0,0,0,1
