ledger_entry_KEY,update__staff_KEY,update_date_utc,bank_account_KEY,bank_account__bank_account_id,bank_account__bank_account_id_sortable,bank_account__description,control_date,submittal_status_KEY,digita_vat_period_KEY,ledger_entry_subtype_KEY,ledger_entry_type_KEY,ledger_entry_type__ledger_entry_type_id,ledger_entry_type__ledger_entry_type_id_sortable,ledger_entry_type__description,client_KEY,client__client_id,client__client_id_sortable,client__description,client__office__office_id,client__partner__staff__staff_id,client__manager__staff__staff_id,entry_date,reference,normal_sign,debit_amount,credit_amount,amount,open_date,posted_open_amount,live_open_amount,posted_closed_amount,live_closed_amount,posted_application_count,comments,internal_comments,approved_date,approved__staff_KEY,approved__staff__staff_id,approved__staff__staff_id_sortable,posted_date,posted__staff_KEY,posted__staff__staff_id,posted__staff__staff_id_sortable,entry_number,digita_tax_point_date_override,digita_proforma__ledger_entry_KEY,void_date,is_posted,is_approved
15,106,01/02/2018,,,,,01/31/2016,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,01/31/2016,,1,103.5,0,103.5,01/01/2079,0,0,103.5,103.5,1,,,02/10/2016,61,2014HM,2014HM,02/10/2016,61,2014HM,2014HM,19778,,,,TRUE,TRUE
16,61,01/02/2018,,,,,04/30/2016,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,04/30/2016,,1,1271,0,1271,01/01/2079,0,0,1271,1271,1,,,05/04/2016,61,2014HM,2014HM,05/04/2016,61,2014HM,2014HM,22301,,,,TRUE,TRUE
17,61,01/02/2018,,,,,05/31/2016,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,05/31/2016,,1,1695,0,1695,01/01/2079,0,0,1695,1695,1,,,06/06/2016,61,2014HM,2014HM,06/06/2016,61,2014HM,2014HM,23508,,,,TRUE,TRUE
18,61,01/02/2018,,,,,07/31/2016,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,07/31/2016,,1,318,0,318,01/01/2079,0,0,318,318,1,,,08/08/2016,61,2014HM,2014HM,08/08/2016,61,2014HM,2014HM,24536,,,,TRUE,TRUE
19,61,01/02/2018,,,,,08/31/2016,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,08/31/2016,,1,108,0,108,01/01/2079,0,0,108,108,1,,,09/09/2016,61,2014HM,2014HM,09/12/2016,61,2014HM,2014HM,24892,,,,TRUE,TRUE
20,102,01/01/2018,,,,,01/31/2017,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,01/31/2017,,1,599.25,0,599.25,01/01/2079,0,0,599.25,599.25,1,,,02/05/2017,61,2014HM,2014HM,02/06/2017,61,2014HM,2014HM,28245,,,,TRUE,TRUE
21,83,12/31/2017,,,,,05/31/2017,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,05/31/2017,,1,2306.75,0,2306.75,01/01/2079,0,0,2306.75,2306.75,1,,,06/07/2017,102,2952NF,2952NF,06/07/2017,102,2952NF,2952NF,32101,,,,TRUE,TRUE
22,93,12/30/2017,,,,,12/06/2017,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,11/30/2017,,1,951,0,951,01/01/2079,0,0,951,951,1,,,12/07/2017,61,2014HM,2014HM,12/08/2017,61,2014HM,2014HM,36084,,,,TRUE,TRUE
23,61,04/05/2018,,,,,03/31/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,03/31/2018,,1,999.86,0,999.86,01/01/2079,0,0,999.86,999.86,1,,,04/04/2018,61,2014HM,2014HM,04/05/2018,61,2014HM,2014HM,39688,,,,TRUE,TRUE
24,102,05/04/2018,,,,,04/30/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,04/30/2018,,1,465,0,465,01/01/2079,0,0,465,465,1,,,05/03/2018,102,2952NF,2952NF,05/04/2018,102,2952NF,2952NF,41176,,,,TRUE,TRUE
25,102,06/07/2018,,,,,05/31/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,05/31/2018,,1,255,0,255,01/01/2079,0,0,255,255,1,,,06/07/2018,102,2952NF,2952NF,06/07/2018,102,2952NF,2952NF,41923,,,,TRUE,TRUE
26,102,07/05/2018,,,,,07/04/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,06/30/2018,,1,50,0,50,01/01/2079,0,0,50,50,1,,,07/05/2018,61,2014HM,2014HM,07/05/2018,102,2952NF,2952NF,42676,,,,TRUE,TRUE
27,61,08/08/2018,,,,,07/31/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,07/31/2018,,1,255,0,255,01/01/2079,0,0,255,255,1,,,08/07/2018,61,2014HM,2014HM,08/08/2018,61,2014HM,2014HM,43154,,,,TRUE,TRUE
28,102,09/10/2018,,,,,08/31/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,08/31/2018,,1,45,0,45,01/01/2079,0,0,45,45,1,,,09/10/2018,102,2952NF,2952NF,09/10/2018,102,2952NF,2952NF,44001,,,,TRUE,TRUE
29,102,10/09/2018,,,,,09/30/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,09/30/2018,,1,1703.75,0,1703.75,01/01/2079,0,0,1703.75,1703.75,1,,,10/09/2018,102,2952NF,2952NF,10/09/2018,102,2952NF,2952NF,44499,,,,TRUE,TRUE
30,102,11/05/2018,,,,,10/31/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,10/31/2018,,1,115,0,115,01/01/2079,0,0,115,115,1,,,11/01/2018,102,2952NF,2952NF,11/05/2018,102,2952NF,2952NF,45221,,,,TRUE,TRUE
31,61,12/08/2018,,,,,11/30/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,11/30/2018,,1,206,0,206,01/01/2079,0,0,206,206,1,,,12/07/2018,61,2014HM,2014HM,12/07/2018,61,2014HM,2014HM,46089,,,,TRUE,TRUE
32,102,01/07/2019,,,,,12/31/2018,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,12/31/2018,,1,80,0,80,01/01/2079,0,0,80,80,1,,,01/06/2019,102,2952NF,2952NF,01/07/2019,102,2952NF,2952NF,46940,,,,TRUE,TRUE
33,102,01/16/2019,,,,,01/15/2019,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,01/15/2019,,1,120,0,120,01/01/2079,0,0,120,120,1,,,01/16/2019,102,2952NF,2952NF,01/16/2019,102,2952NF,2952NF,47716,,,,TRUE,TRUE
34,102,02/08/2019,,,,,01/31/2019,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,01/31/2019,,1,305,0,305,01/01/2079,0,0,305,305,1,,,02/08/2019,102,2952NF,2952NF,02/08/2019,102,2952NF,2952NF,48174,,,,TRUE,TRUE
35,102,05/08/2019,,,,,04/30/2019,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,04/30/2019,,1,1875,0,1875,01/01/2079,0,0,1875,1875,1,,,05/07/2019,102,2952NF,2952NF,05/08/2019,102,2952NF,2952NF,52053,,,,TRUE,TRUE
36,102,09/10/2019,,,,,09/09/2019,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,09/09/2019,,1,572.5,0,572.5,01/01/2079,0,0,572.5,572.5,1,,,09/10/2019,102,2952NF,2952NF,09/10/2019,102,2952NF,2952NF,54840,,,,TRUE,TRUE
37,102,11/12/2019,,,,,10/31/2019,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,10/31/2019,,1,315,0,315,01/01/2079,0,0,315,315,1,,,11/12/2019,102,2952NF,2952NF,11/12/2019,102,2952NF,2952NF,57047,,,,TRUE,TRUE
38,102,12/05/2019,,,,,11/30/2019,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,11/30/2019,,1,175,0,175,01/01/2079,0,0,175,175,1,,,12/05/2019,102,2952NF,2952NF,12/05/2019,102,2952NF,2952NF,57322,,,,TRUE,TRUE
39,102,01/22/2020,,,,,01/15/2020,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,01/15/2020,,1,120,0,120,01/01/2079,0,0,120,120,1,,,01/21/2020,102,2952NF,2952NF,01/21/2020,102,2952NF,2952NF,58760,,,,TRUE,TRUE
40,102,05/09/2020,,,,,04/30/2020,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,04/30/2020,,1,1920,0,1920,01/01/2079,0,0,1920,1920,1,,,05/06/2020,102,2952NF,2952NF,05/09/2020,102,2952NF,2952NF,62456,,,,TRUE,TRUE
41,102,07/20/2020,,,,,06/30/2020,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,06/30/2020,,1,385,0,385,01/01/2079,0,0,385,385,1,,,07/20/2020,102,2952NF,2952NF,07/20/2020,102,2952NF,2952NF,63922,,,,TRUE,TRUE
42,61,02/16/2021,,,,,02/12/2021,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,02/12/2021,,1,797,0,797,01/01/2079,0,0,797,797,1,,,02/16/2021,61,2014HM,2014HM,02/16/2021,61,2014HM,2014HM,70939,,,,TRUE,TRUE
43,61,02/25/2021,,,,,02/28/2021,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,02/28/2021,,1,120,0,120,01/01/2079,0,0,120,120,1,,,02/25/2021,61,2014HM,2014HM,02/25/2021,61,2014HM,2014HM,71599,,,,TRUE,TRUE
44,61,04/28/2021,,,,,04/27/2021,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,04/27/2021,,1,798,0,798,01/01/2079,0,0,798,798,1,,,04/28/2021,61,2014HM,2014HM,04/28/2021,61,2014HM,2014HM,74884,,,,TRUE,TRUE
45,61,06/01/2021,,,,,05/28/2021,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,05/28/2021,,1,1226,0,1226,01/01/2079,0,0,1226,1226,1,,,05/29/2021,61,2014HM,2014HM,06/01/2021,61,2014HM,2014HM,77574,,,,TRUE,TRUE
46,61,09/09/2021,,,,,07/15/2021,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,08/31/2021,,1,120,0,120,01/01/2079,0,0,120,120,1,,,09/09/2021,61,2014HM,2014HM,09/09/2021,61,2014HM,2014HM,78829,,,,TRUE,TRUE
47,61,10/13/2021,,,,,10/04/2021,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,10/08/2021,,1,560,0,560,01/01/2079,0,0,560,560,1,,,10/13/2021,61,2014HM,2014HM,10/13/2021,61,2014HM,2014HM,81275,,,,TRUE,TRUE
48,61,11/05/2021,,,,,11/03/2021,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,11/03/2021,,1,140,0,140,01/01/2079,0,0,140,140,1,,,11/05/2021,61,2014HM,2014HM,11/05/2021,61,2014HM,2014HM,82651,,,,TRUE,TRUE
49,61,12/08/2021,,,,,12/02/2021,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,12/02/2021,,1,70,0,70,01/01/2079,0,0,70,70,1,,,12/07/2021,61,2014HM,2014HM,12/08/2021,61,2014HM,2014HM,83880,,,,TRUE,TRUE
50,61,01/05/2022,,,,,01/04/2022,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,01/04/2022,,1,70,0,70,01/01/2079,0,0,70,70,1,,,01/05/2022,61,2014HM,2014HM,01/05/2022,61,2014HM,2014HM,84825,,,,TRUE,TRUE
51,61,06/30/2022,,,,,04/01/2022,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,04/01/2022,,1,60,0,60,01/01/2079,0,0,60,60,1,,,04/01/2022,61,2014HM,2014HM,06/30/2022,61,2014HM,2014HM,90902,,,,TRUE,TRUE
52,61,04/15/2022,,,,,04/06/2022,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,04/06/2022,,1,105,0,105,01/01/2079,0,0,105,105,1,,,04/14/2022,61,2014HM,2014HM,04/14/2022,61,2014HM,2014HM,91546,,,,TRUE,TRUE
53,61,05/05/2022,,,,,05/03/2022,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,05/03/2022,,1,1675,0,1675,01/01/2079,0,0,1675,1675,1,,,05/05/2022,61,2014HM,2014HM,05/05/2022,61,2014HM,2014HM,93626,,,,TRUE,TRUE
54,61,07/08/2022,,,,,06/10/2022,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,06/28/2022,,1,105,0,105,01/01/2079,0,0,105,105,1,,,07/08/2022,61,2014HM,2014HM,07/08/2022,61,2014HM,2014HM,96149,,,,TRUE,TRUE
55,61,12/07/2022,,,,,12/05/2022,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,12/07/2022,,1,175,0,175,01/01/2079,0,0,175,175,1,,,12/07/2022,61,2014HM,2014HM,12/07/2022,61,2014HM,2014HM,105332,,,,TRUE,TRUE
56,61,07/13/2023,,,,,07/28/2023,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,07/13/2023,,1,120,0,120,01/01/2079,0,0,120,120,1,,,07/13/2023,61,2014HM,2014HM,07/13/2023,61,2014HM,2014HM,121045,,,,TRUE,TRUE
57,61,07/18/2023,,,,,07/20/2023,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,07/18/2023,,1,375,0,375,01/01/2079,0,0,375,375,1,,,07/18/2023,61,2014HM,2014HM,07/18/2023,61,2014HM,2014HM,121707,,,,TRUE,TRUE
58,61,08/28/2023,,,,,08/24/2023,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,08/28/2023,,1,1930,0,1930,01/01/2079,0,0,1930,1930,1,,,08/28/2023,61,2014HM,2014HM,08/28/2023,61,2014HM,2014HM,123194,,,,TRUE,TRUE
59,61,10/02/2023,,,,,09/29/2023,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,10/02/2023,,1,390,0,390,01/01/2079,0,0,390,390,1,,,10/02/2023,61,2014HM,2014HM,10/02/2023,61,2014HM,2014HM,125472,,,,TRUE,TRUE
60,61,10/18/2023,,,,,10/20/2023,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,10/18/2023,,1,515,0,515,01/01/2079,0,0,515,515,1,,,10/18/2023,61,2014HM,2014HM,10/18/2023,61,2014HM,2014HM,126309,,,,TRUE,TRUE
61,61,01/02/2024,,,,,01/07/2024,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,01/02/2024,,1,360,0,360,01/01/2079,0,0,360,360,1,,,01/02/2024,61,2014HM,2014HM,01/02/2024,61,2014HM,2014HM,132868,,,,TRUE,TRUE
62,61,02/08/2024,,,,,02/16/2024,,,1,1,INV,INV,Invoice,1,38684554500,38684554500                              `,LedgerLogic Accounting,IDMV,4081OL,4081OL,02/08/2024,,1,225,0,225,01/01/2079,0,0,225,225,1,,,02/08/2024,61,2014HM,2014HM,02/08/2024,61,2014HM,2014HM,135423,,,,TRUE,TRUE
63,61,01/02/2018,,,,,04/30/2014,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,04/30/2014,,1,681.25,0,681.25,01/01/2079,0,0,681.25,681.25,1,,,05/07/2014,61,2014HM,2014HM,05/08/2014,61,2014HM,2014HM,6712,,,,TRUE,TRUE
64,61,01/02/2018,,,,,03/30/2015,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,03/30/2015,,1,677.11,0,677.11,01/01/2079,0,0,677.11,677.11,1,,,03/31/2015,61,2014HM,2014HM,04/01/2015,61,2014HM,2014HM,13176,,,,TRUE,TRUE
65,61,05/05/2016,,,,,04/29/2016,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,04/29/2016,,1,788.9,0,788.9,01/01/2079,0,0,788.9,788.9,1,,,05/04/2016,61,2014HM,2014HM,05/04/2016,61,2014HM,2014HM,22012,,,,TRUE,TRUE
66,102,12/31/2017,,,,,05/02/2017,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,04/30/2017,,1,806.5,0,806.5,01/01/2079,0,0,806.5,806.5,1,,,05/08/2017,102,2952NF,2952NF,05/08/2017,102,2952NF,2952NF,30468,,,,TRUE,TRUE
67,76,12/30/2017,,,,,10/25/2017,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,10/25/2017,,1,402.5,0,402.5,01/01/2079,0,0,402.5,402.5,1,,,11/07/2017,102,2952NF,2952NF,11/07/2017,102,2952NF,2952NF,34753,,,,TRUE,TRUE
68,102,04/01/2018,,,,,03/24/2018,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,03/24/2018,,1,832.5,0,832.5,01/01/2079,0,0,832.5,832.5,1,,,03/30/2018,102,2952NF,2952NF,04/01/2018,102,2952NF,2952NF,38764,,,,TRUE,TRUE
69,61,04/17/2019,,,,,04/17/2019,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,04/17/2019,,1,880,0,880,01/01/2079,0,0,880,880,1,,,04/17/2019,76,4337JW,4337JW,04/17/2019,61,2014HM,2014HM,50797,,,,TRUE,TRUE
70,102,03/09/2020,,,,,03/07/2020,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,03/07/2020,,1,1275,0,1275,01/01/2079,0,0,1275,1275,1,,,03/09/2020,76,4337JW,4337JW,03/09/2020,102,2952NF,2952NF,60387,,,,TRUE,TRUE
71,61,01/04/2021,,,,,12/27/2020,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,12/27/2020,,1,440,0,440,01/01/2079,0,0,440,440,1,,,01/04/2021,84,4380LH,4380LH,01/04/2021,61,2014HM,2014HM,69253,,,,TRUE,TRUE
72,61,04/09/2021,,,,,04/08/2021,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,04/08/2021,,1,510,0,510,01/01/2079,0,0,510,510,1,,,04/09/2021,61,2014HM,2014HM,04/09/2021,61,2014HM,2014HM,73814,,,,TRUE,TRUE
73,61,10/06/2021,,,,,09/20/2021,,,1,1,INV,INV,Invoice,2,35062011000,35062011000                              `,UnityVault Bank,IDMV,4380LH,2505CC,09/30/2021,,1,150,0,150,01/01/2079,0,0,150,150,1,,,10/04/2021,84,4380LH,4380LH,10/06/2021,61,2014HM,2014HM,80525,,,,TRUE,TRUE
74,95,01/02/2018,,,,,06/30/2013,,,1,1,INV,INV,Invoice,3,35909826000,35909826000                              `,SeedlingSuccess Agritech,IDMV,4380LH,2505CC,06/30/2013,,1,650,0,650,01/01/2079,0,0,650,650,1,,,07/12/2013,61,2014HM,2014HM,07/15/2013,61,2014HM,2014HM,346,,,,TRUE,TRUE
75,61,05/05/2016,,,,,04/29/2016,,,1,1,INV,INV,Invoice,3,35909826000,35909826000                              `,SeedlingSuccess Agritech,IDMV,4380LH,2505CC,04/29/2016,,1,883.73,0,883.73,01/01/2079,0,0,883.73,883.73,1,,,05/04/2016,61,2014HM,2014HM,05/04/2016,61,2014HM,2014HM,22013,,,,TRUE,TRUE
