billing_decision_KEY,update__staff_KEY,update_date_utc,sheet_entry_KEY,ledger_entry_KEY,sheet_entry__client_KEY,sheet_entry__engagement_KEY,sheet_entry__activity_KEY,sheet_entry__staff_billing_rate_KEY,sheet_entry__sheet_entry_type_KEY,sheet_entry__staff_KEY,sheet_entry__approved__staff_KEY,sheet_entry__posted__staff_KEY,sheet_entry__entry_date,activity__activity_class_KEY,activity__activity_method_KEY,invoice_KEY,invoice__ledger_entry_KEY,invoice__report_definition_KEY,invoice__client_KEY,invoice__invoice_date,invoice__posted__staff_KEY,bill_amount,adjustment,units_closed,amount_closed,surcharge,discount,billing_decision_guid,time_amount_billed,time_amount_adjusted,expense_amount_billed,expense_amount_adjusted,progress_amount_billed,sales_tax,service_tax,tax,bill_amount_collected,surcharge_collected,sales_tax_collected,service_tax_collected,discount_collected,amount,recurring_bill,time_amount_recovered,expense_amount_recovered,time_amount_recovered_adjusted,expense_amount_recovered_adjusted
12,61,44967.02399,2442,624,4,92,17,,1,43,43,43,44946,1,1,624,624,1628,4,44966,61,0,0,0.2,0,0,0,E8C36DDB-3B96-4EBB-8730-E7FCE1CCAF50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
13,61,44967.02399,2444,624,4,92,17,,1,99,99,99,44946,1,1,624,624,1628,4,44966,61,0,0,0.2,0,0,0,EB8D6B85-FB83-4733-980E-3E66031693AE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
14,126,44980.99256,2416,477,14,99,17,,1,113,113,113,44951,1,1,477,477,1627,14,44980,61,0,0,0.75,0,0,0,34247C52-2C75-4A81-9F41-C181376AC284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
15,126,44980.99256,2417,477,14,99,17,,1,113,113,113,44952,1,1,477,477,1627,14,44980,61,0,0,0.25,0,0,0,7DD09608-DF88-4C2A-8ED9-F1436AAE9545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
16,61,44565.7799,5211,132,4,92,17,,1,126,126,126,44546,1,1,132,132,1629,4,44565,61,0,0,0.28,0,0,0,63A72926-CB67-47A2-A9E1-2A472E9699C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
17,61,44628.04346,5213,619,4,92,17,,1,126,126,126,44575,1,1,619,619,1629,4,44624,61,0,0,0.29,0,0,0,D4E159DC-2614-4C58-B4DD-359E6843DB53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
18,61,44628.04346,5212,619,4,92,17,,1,126,126,126,44573,1,1,619,619,1629,4,44624,61,0,0,1.59,0,0,0,A0655443-6D84-4D36-A640-91381B6504CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
19,61,44628.04346,1889,619,4,92,17,,1,126,126,126,44581,1,1,619,619,1629,4,44624,61,0,0,0.37,0,0,0,D18FDB96-D54F-46E2-8131-B2726FDF60A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
20,61,44628.04346,2388,619,4,92,17,,1,63,63,63,44581,1,1,619,619,1629,4,44624,61,0,0,0.08,0,0,0,61456BD7-43A3-4365-A2F4-8D6088A4C56F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
21,61,44628.04346,1888,619,4,92,17,,1,126,126,126,44587,1,1,619,619,1629,4,44624,61,0,0,0.03,0,0,0,2F8E4BE6-2AB4-4A2D-9E69-E55BFCA7F3FD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
22,61,44628.04346,1887,619,4,92,17,,1,126,126,126,44588,1,1,619,619,1629,4,44624,61,0,0,0.1,0,0,0,D367ADA0-9F35-41C4-8575-D2D277AB9D1E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
23,61,44624.94314,2428,656,23,94,17,,1,113,113,113,44585,1,1,656,656,1629,23,44624,61,0,0,1,0,0,0,25602250-9919-4A8F-8E49-D6BE8EB631CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
24,61,44624.94314,2429,656,23,94,17,,1,113,113,113,44586,1,1,656,656,1629,23,44624,61,0,0,1.25,0,0,0,690D05FD-CDDE-42DF-95CA-F10A079E286E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
27,61,45337.85117,2456,353,23,94,17,,1,46,46,46,45299,1,1,353,353,1627,23,45337,61,0,0,0.25,0,0,0,EECD9533-75AB-4DE3-B39C-AD3F8F84BBC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
28,61,45337.85117,2457,353,23,94,17,,1,46,46,46,45299,1,1,353,353,1627,23,45337,61,0,0,0.08,0,0,0,EFC44D57-00E0-4F60-94A9-BA697E6E4B05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
29,61,45337.85117,2455,353,23,94,17,,1,46,46,46,45316,1,1,353,353,1627,23,45337,61,0,0,0.5,0,0,0,32C6DDFD-60D8-422D-BB5D-B74D95DF8C22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
30,61,45337.85117,2458,353,23,94,17,,1,46,46,46,45313,1,1,353,353,1627,23,45337,61,0,0,0.75,0,0,0,146B3344-71FD-4ACB-AC07-8F0B47DBF2B0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
31,61,45337.85117,2454,353,23,94,17,,1,46,46,46,45316,1,1,353,353,1627,23,45337,61,0,0,0.25,0,0,0,2B45AEE9-D35D-4420-8C11-A9809E1C9773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
32,61,45337.85117,2459,353,23,94,17,,1,46,46,46,45314,1,1,353,353,1627,23,45337,61,0,0,0.5,0,0,0,D1E3FD46-A33D-4D2B-B5D6-31E001FF9C65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
33,61,45337.85117,2460,353,23,94,17,,1,46,46,46,45315,1,1,353,353,1627,23,45337,61,0,0,0.5,0,0,0,F86D42DB-4379-48A1-A205-A88563D89C1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
35,61,45323.91014,2453,542,25,98,17,,1,147,147,147,45299,1,1,542,542,1627,25,45322,61,0,0,0.17,0,0,0,FCD47CAD-F1A8-4726-8D4C-786649B94B6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
36,61,45323.91014,2418,493,15,85,17,,1,113,113,113,45307,1,1,493,493,1627,14,45322,61,0,0,0.5,0,0,0,6D3AC6F5-0E13-4AE4-B589-2C7C49EE80DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
38,61,45323.91014,2451,542,25,98,17,,1,147,147,147,45306,1,1,542,542,1627,25,45322,61,0,0,0.62,0,0,0,0539421B-7EAB-4D21-8F23-5848173F823B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
40,61,45323.91014,2452,542,25,98,17,,1,147,147,147,45307,1,1,542,542,1627,25,45322,61,0,0,0.25,0,0,0,5D1BF898-C22F-40AE-9BE0-C2AD4C32EF5E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
41,61,45323.91014,2431,493,14,99,17,,1,113,113,113,45307,1,1,493,493,1627,14,45322,61,0,0,0.25,0,0,0,EB55E611-AC26-40F4-9C3E-4C4E904965E0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
42,61,45323.91014,2419,493,15,85,17,,1,113,113,113,45310,1,1,493,493,1627,14,45322,61,0,0,0.1,0,0,0,C4003561-046F-4E3B-AD46-D450BA87B65B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
43,61,45323.91014,2432,493,14,99,17,,1,113,113,113,45316,1,1,493,493,1627,14,45322,61,0,0,0.25,0,0,0,8925847C-0287-4C0C-A05C-307F8EAE1ECE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
44,61,45323.91014,2420,493,15,85,17,,1,113,113,113,45316,1,1,493,493,1627,14,45322,61,0,0,0.25,0,0,0,3978AB44-43AC-40BA-8515-88BECE6DEFBF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
45,61,45323.91014,2421,493,15,85,17,,1,113,113,113,45317,1,1,493,493,1627,14,45322,61,0,0,0.25,0,0,0,E989D892-EC25-48CE-A9E0-FBA475371351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
46,61,45323.91014,2430,493,14,99,17,,1,113,113,113,45317,1,1,493,493,1627,14,45322,61,0,0,0.1,0,0,0,F0128E75-CD8D-4C98-87F5-5A2E1B450351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
48,61,45323.91014,5214,493,15,85,26,,1,132,132,132,45317,1,1,493,493,1627,14,45322,61,0,0,0.15,0,0,0,67F5249A-871B-4EA7-AFDA-D9A30C5B4B23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
49,61,45323.91014,5215,493,14,99,26,,1,132,132,132,45316,1,1,493,493,1627,14,45322,61,0,0,0.15,0,0,0,3094EBC2-7483-45B9-93D1-E1EBC54E3456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
50,126,44980.99256,2435,477,14,99,26,,1,90,90,90,44952,1,1,477,477,1627,14,44980,61,0,0,0.2,0,0,0,1E6D6384-7F2B-4FA2-8D8F-376F3DA76061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
51,61,44994.98872,572,674,25,98,26,,1,10,10,10,44963,1,1,674,674,1628,25,44994,61,0,0,0.1,0,0,0,190AE03E-6123-4967-800B-883F072E3DD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
52,61,44967.02399,2398,624,4,92,26,,1,111,111,111,44946,1,1,624,624,1628,4,44966,61,0,0,0.05,0,0,0,5F7FCFA1-8182-4913-9B15-1596EB95E87F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
53,61,44624.94314,5210,656,23,94,26,,1,111,111,111,44587,1,1,656,656,1629,23,44624,61,0,0,0.2,0,0,0,8DFA5375-3779-4AFB-926A-2BEF17A5DBEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
54,61,45337.85117,2395,353,23,94,26,,1,111,111,111,45315,1,1,353,353,1627,23,45337,61,0,0,0.05,0,0,0,AF84117E-67AB-4A05-9C63-CE385FACB9ED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
55,61,44964.98156,2394,351,23,94,26,,1,111,111,111,44950,1,1,351,351,1628,23,44964,61,0,0,0.15,0,0,0,1E16AA09-D3D5-4727-AD4E-685BFFDE719E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
56,61,45323.91014,2397,542,25,98,26,,1,111,111,111,45306,1,1,542,542,1627,25,45322,61,0,0,0.1,0,0,0,66394388-29C8-479B-B115-72171DEE09E6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
57,61,45337.85117,2396,353,23,94,26,,1,111,111,111,45313,1,1,353,353,1627,23,45337,61,0,0,0.1,0,0,0,A8CB33BF-6157-4B61-96B3-8FECAAF79FB0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
58,61,45330.72806,2399,142,4,92,26,,1,111,111,111,45314,1,1,142,142,1628,4,45330,61,0,0,0.1,0,0,0,8FC0C767-4F4B-4838-BF27-0301EBB70130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0
59,61,44251.89639,1071,461,14,44,12,,1,92,92,92,44077,1,1,461,461,1413,14,44255,61,0,0,2.15,0,0,0,F8FB45E6-1A8D-45BF-9A9F-A191E8BDD0D5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
60,61,44251.89639,1081,461,14,44,12,,1,92,92,92,44099,1,1,461,461,1413,14,44255,61,0,0,0.2,0,0,0,8B59D084-9FF1-4FE7-A041-975CDF2EB3E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
61,61,44251.89639,1069,461,14,44,12,,1,92,92,92,43802,1,1,461,461,1413,14,44255,61,0,0,0.75,0,0,0,CB68FFB3-6B8C-482E-94F9-1FD664737B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
62,61,44251.89639,1072,461,14,44,12,,1,92,92,92,44097,1,1,461,461,1413,14,44255,61,0,0,2.5,0,0,0,1EBA693F-0354-4DE8-AC82-CEC310F887B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
63,61,44251.89639,1066,461,15,45,12,,1,92,92,92,44103,1,1,461,461,1413,14,44255,61,0,0,0.4,0,0,0,5FD583F5-1F3A-4376-9780-5EE7C8060E70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
64,61,44609.76073,1086,464,14,44,12,,1,92,92,92,44512,1,1,464,464,1627,14,44609,61,0,0,0.4,0,0,0,4AF26A2B-71EB-4A2E-A541-34A8C1E27D45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
65,61,44251.89639,1070,461,14,44,12,,1,92,92,92,44054,1,1,461,461,1413,14,44255,61,0,0,0.3,0,0,0,40F611C6-E7E8-4A27-A6A8-FFCAC545E4F0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
66,61,44609.76073,1085,464,14,44,12,,1,92,92,92,44533,1,1,464,464,1627,14,44609,61,0,0,0.3,0,0,0,34CE8622-1E1D-42BD-932D-03BFF40A7278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
67,61,44251.89639,1088,461,14,44,12,,1,92,92,92,43895,1,1,461,461,1413,14,44255,61,0,0,0.75,0,0,0,18B8B3A1-2930-4E00-BAF8-C61854D53EAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
68,102,44879.80102,1084,472,14,44,12,,1,92,92,92,44838,1,1,472,472,1627,14,44865,61,0,0,1.75,0,0,0,2A9D2334-4A09-4E7B-B90E-00429E8AFB0D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
69,61,44680.68365,1083,465,14,44,12,,1,92,92,92,44642,1,1,465,465,1627,14,44680,61,0,0,1.25,0,0,0,8C51AE64-A5BD-4472-A4CC-169BB0772E7E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
70,61,44251.89639,1216,461,14,44,12,,1,92,92,92,43908,1,1,461,461,1413,14,44255,61,0,0,0.85,0,0,0,5F089C1F-7E2D-4042-A0A0-6422260B43F6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
71,76,43572.54774,1097,156,6,47,12,,1,76,76,76,43410,1,1,156,156,147,6,43572,61,0,0,0.3,0,0,0,6E4FE300-6ABC-4431-B74F-9D5DBD46A56B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
72,61,44251.89639,1077,461,14,44,11,,1,92,92,92,43986,1,1,461,461,1413,14,44255,61,0,0,0.4,0,0,0,CBD5938B-F88C-4CDA-95CA-7E36AC877C5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
73,61,44251.89639,1102,461,14,44,10,,1,58,58,58,44074,1,1,461,461,1413,14,44255,61,0,0,0.15,0,0,0,23BF8FC1-36EF-4DC5-AC58-CB11B9C8FF68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
74,61,44251.89639,1076,461,14,44,11,,1,92,92,92,44004,1,1,461,461,1413,14,44255,61,0,0,1.75,0,0,0,FEA191ED-2930-4540-8F3B-4C5799BB0CB0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
75,61,44251.89639,1101,461,14,44,10,,1,58,58,58,44099,1,1,461,461,1413,14,44255,61,0,0,0.15,0,0,0,7C6AFED5-B0DB-41E5-9D6C-43FED8B74727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
76,61,44251.89639,1100,461,14,44,10,,1,58,58,58,44032,1,1,461,461,1413,14,44255,61,0,0,0.1,0,0,0,29ECCA1C-8AF4-4A27-A68B-8F850A54B41F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
77,61,44251.89639,1080,461,14,44,11,,1,92,92,92,44210,1,1,461,461,1413,14,44255,61,0,0,0.3,0,0,0,DBEAD2E8-1750-4503-9C0E-D64D7FE9C455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
78,58,43136.79427,1105,208,14,44,9,,1,58,58,58,43019,1,1,208,208,147,14,43131,102,0,0,1.5,0,0,0,CEB78EB6-D11B-4AC1-9E16-1DA16F421ED2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
79,58,43136.79427,1106,208,14,44,7,,1,58,58,58,43024,2,1,208,208,147,14,43131,102,0,0,0.4,0,0,0,1D6E4C31-6230-480C-B6DD-D60AFC6FE25A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
80,94,43531.65574,1094,176,11,50,11,,1,96,96,96,43504,1,1,176,176,147,11,43524,102,0,0,2,0,0,0,41C9FDD3-80C7-46D6-A4E3-EEB7F6C671EA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
81,58,43348.92859,1104,215,14,44,9,,1,58,58,58,43339,1,1,215,215,147,14,43343,102,0,0,0.2,0,0,0,1A3043F5-E871-492D-80AF-5A1F483117E5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
82,58,43136.79427,1098,208,14,44,13,,1,58,58,58,43020,1,1,208,208,147,14,43131,102,0,0,1.6,0,0,0,EBEC4C78-B509-42FD-A450-F5927AA7355C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
83,61,44924.77084,1142,658,23,40,5,,1,116,116,116,44882,1,1,658,658,1627,23,44918,61,0,0,2.5,0,0,0,EC801441-E0EA-4F6C-B513-E07412E306F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
84,61,44924.77084,1141,658,23,40,5,,1,116,116,116,44886,1,1,658,658,1627,23,44918,61,0,0,1.2,0,0,0,8D8A9E69-87B7-4F99-9F79-90CBE9AD984F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
87,61,44722.61713,1068,466,14,44,9,,1,92,92,92,44699,1,1,466,466,1627,14,44722,61,0,0,0.35,0,0,0,3D525DD6-AFE0-4136-A953-F8C2F223A3A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
88,61,45210.89179,1095,486,14,44,11,,1,96,96,96,44967,1,1,486,486,1627,14,45210,61,0,0,2,0,0,0,ABC80EF3-A68D-40B4-BE97-0DA0C94E876B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
89,61,44609.76073,214,464,14,44,41,,1,92,92,92,44396,1,1,464,464,1627,14,44609,61,0,0,2,0,0,0,4287C5B4-D567-4305-88D1-2D83AE3DAC41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
90,61,44819.91545,1059,447,6,47,19,,1,130,130,130,44615,1,1,447,447,1627,6,44819,61,0,0,3,0,0,0,C34E4F8D-CFB7-4DD7-AA70-65A9F3C1DB39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
91,61,44819.91545,1062,447,6,47,19,,1,130,130,130,44620,1,1,447,447,1627,6,44819,61,0,0,1.75,0,0,0,58094DF0-AA53-4E3F-8E4C-8013560F9CF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
92,61,44819.91545,1060,447,6,47,19,,1,130,130,130,44616,1,1,447,447,1627,6,44819,61,0,0,5.5,0,0,0,84901ECC-F3D9-4C05-BA39-20A4EA908E4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
93,61,44819.91545,1061,447,6,47,19,,1,130,130,130,44617,1,1,447,447,1627,6,44819,61,0,0,7,0,0,0,BA6FB417-8883-4055-A36A-34448ADBF71D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
94,61,44623.83113,2387,655,23,87,11,,1,93,93,93,44588,1,1,655,655,1627,23,44613,61,0,0,0.6,0,0,0,CAAFB52B-C491-4615-A479-9CD7CF5465B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
95,61,44832.95425,1079,582,14,44,11,,1,92,92,92,44818,1,1,582,582,1627,14,44832,61,0,0,0.3,0,0,0,0BCA8D38-80D8-4003-9635-45EB0ACE0FFD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
96,61,44819.91545,1063,447,6,47,19,,1,130,130,130,44621,1,1,447,447,1627,6,44819,61,0,0,5,0,0,0,CCF7F74C-A2F0-40B1-9622-D2B7E5AE976C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
97,61,44832.95425,1078,582,14,44,11,,1,92,92,92,44831,1,1,582,582,1627,14,44832,61,0,0,1.25,0,0,0,4EB05F61-3DCD-4ABB-AAC0-968414FE9146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
98,61,44609.76073,1099,464,14,44,10,,1,58,58,58,44546,1,1,464,464,1627,14,44609,61,0,0,0.2,0,0,0,A20FA115-ACD9-4703-B42C-C99615E06294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
99,94,43531.65574,1093,176,11,50,11,,1,96,96,96,43503,1,1,176,176,147,11,43524,102,0,0,1,0,0,0,C9461AB0-1AC7-4C6A-AE69-B51B5FC6A6EC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
100,57,43683.88861,1140,338,23,40,9,,1,57,57,57,43676,1,1,338,338,317,23,43678,102,0,0,1,0,0,0,24AA17FC-5A76-4597-AD00-E930D1D26971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
101,61,43193.67131,1089,23,1,62,8,,1,96,96,96,43186,1,1,23,23,331,1,43190,61,0,0,1,0,0,0,85C25C41-D1D9-48B3-BF9C-9276DC1954DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
102,61,44251.89639,1103,461,14,44,51,,1,58,58,58,43773,1,1,461,461,1413,14,44255,61,0,0,1,0,0,0,C2871B03-E921-44C1-8A0E-B35803EE74A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
103,61,44251.89639,1239,461,14,44,11,,1,58,58,58,44223,1,1,461,461,1413,14,44255,61,0,0,1,0,0,0,511D3900-DE35-489A-AC84-3DE17F395CF9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
104,61,44251.89639,1087,461,14,44,12,,1,92,92,92,43985,1,1,461,461,1413,14,44255,61,0,0,1,0,0,0,FFA2355D-E466-4A6D-ACF2-FDF4848A3954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
105,57,43731.918,1138,339,23,40,12,,1,57,57,57,43728,1,1,339,339,317,23,43731,102,0,0,1,0,0,0,7A064607-4699-46A5-AAB1-4E530B5D70CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
