ledger_entry_application_KEY,update__staff_KEY,update_date_utc,from__ledger_entry_KEY,from__ledger_entry__amount,from__ledger_entry__entry_date,from__ledger_entry__bank_account_KEY,from__ledger_entry__ledger_entry_type_KEY,from__ledger_entry__client_KEY,from__ledger_entry__approved__staff_KEY,from__ledger_entry__posted__staff_KEY,from__ledger_entry__posted_date,to__ledger_entry_KEY,to__ledger_entry__bank_account_KEY,to__ledger_entry__amount,to__ledger_entry__entry_date,to__ledger_entry__ledger_entry_type_KEY,to__ledger_entry__client_KEY,to__ledger_entry__approved__staff_KEY,to__ledger_entry__posted__staff_KEY,to__ledger_entry__posted_date,applied_date,applied_amount
14,61,41778.80237,63,681.25,41759,,1,2,61,61,41767,964,3,-681.25,41778,4,2,61,61,41778,41778,681.25
15,61,43462.95058,31,206,43434,,1,1,61,61,43441,926,3,-206,43462,4,1,61,61,43462,43462,206
16,61,42062.9297,10,155.25,42035,,1,1,61,61,42041,905,3,-155.25,42062,4,1,61,61,42062,42062,155.25
17,61,41725.88311,360,9.62,41608,,2,3,61,61,41613,688,3,-734.33,41725,4,3,61,61,41725,41725,9.62
18,61,42494.85647,409,4.14,42450,,2,8,61,61,42450,697,3,-288.78,42494,4,8,61,61,42494,42494,4.14
19,61,41793.88639,160,1155,41759,,1,7,61,61,41767,1093,3,-1155,41793,4,7,61,61,41793,41793,1155
20,61,41869.82558,87,172.5,41851,,1,4,61,61,41862,984,3,-172.5,41869,4,4,61,61,41869,41869,172.5
21,61,42143.87063,11,201.25,42124,,1,1,61,61,42131,906,3,-201.25,42143,4,1,61,61,42143,42143,201.25
22,61,41725.88311,363,6.41,41690,,2,3,61,61,41691,688,3,-734.33,41725,4,3,61,61,41725,41725,6.41
23,61,41957.88427,547,476,41943,,1,1,61,61,41950,903,3,-115,41957,4,1,61,61,41957,41957,115
24,61,42810.91523,101,841,42794,,1,4,61,61,42802,998,3,-841,42810,4,4,61,61,42810,42810,841
25,61,41815.8634,144,1140,41759,,1,5,61,61,41767,1050,3,-1140,41815,4,5,61,61,41815,41815,1140
26,61,43462.95019,115,100,43434,,1,4,61,61,43441,1012,3,-100,43462,4,4,61,61,43462,43462,100
27,61,42062.92896,91,270,42035,,1,4,61,61,42041,988,3,-270,42062,4,4,61,61,42062,42062,270
28,61,43083.98446,104,205,43069,,1,4,61,61,43077,1001,3,-205,43083,4,4,61,61,43083,43083,205
29,61,42208.84606,154,3664.59,42121,,1,6,61,61,42131,1065,3,-3664.59,42208,4,6,61,61,42208,42208,3664.59
30,61,42572.87963,17,1695,42521,,1,1,61,61,42527,912,3,-1695,42572,4,1,61,61,42572,42572,1695
31,61,43326.93235,111,165,43312,,1,4,61,61,43320,1008,3,-165,43326,4,4,61,61,43326,43326,165
32,61,41957.87631,89,103.5,41943,,1,4,61,61,41950,986,3,-103.5,41957,4,4,61,61,41957,41957,103.5
33,61,43934.91517,125,105,43921,,1,4,61,61,43930,1020,3,-105,43934,4,4,61,61,43934,43934,105
34,61,42548.86376,146,943,42489,,1,5,61,61,42494,1052,3,-943,42548,4,5,61,61,42548,42548,943
35,61,41844.8762,551,3554.75,41759,,1,6,61,61,41767,1060,3,-250,41844,4,6,61,61,41844,41844,250
36,61,41725.88311,359,9.94,41578,,2,3,61,61,41582,688,3,-734.33,41725,4,3,61,61,41725,41725,9.94
37,61,42096.86612,551,3554.75,41759,,1,6,61,61,41767,693,3,-2621.61,42096,4,6,61,61,42096,42096,2254.75
38,61,42096.86612,391,49.01,41871,,2,6,61,61,41877,693,3,-2621.61,42096,4,6,61,61,42096,42096,49.01
39,61,41911.88708,551,3554.75,41759,,1,6,61,61,41767,1061,3,-250,41911,4,6,61,61,41911,41911,250
40,61,41943.80242,551,3554.75,41759,,1,6,61,61,41767,1062,3,-200,41943,4,6,61,61,41943,41943,200
41,61,41974.8602,551,3554.75,41759,,1,6,61,61,41767,1063,3,-300,41974,4,6,61,61,41974,41974,300
42,61,41990.90852,9,402.5,41971,,1,1,61,61,41977,904,3,-402.5,41990,4,1,61,61,41990,41990,402.5
43,61,41991.91623,551,3554.75,41759,,1,6,61,61,41767,1064,3,-300,41991,4,6,61,61,41991,41991,300
44,61,42200.89688,12,1164.5,42185,,1,1,61,61,42194,907,3,-1164.5,42200,4,1,61,61,42200,42200,1164.5
45,61,42789.9602,100,625.5,42766,,1,4,61,61,42772,997,3,-625.5,42789,4,4,61,61,42789,42789,625.5
46,61,43196.90876,23,999.86,43190,,1,1,61,61,43195,918,3,-999.86,43196,4,1,61,61,43196,43196,999.86
47,61,41725.88311,356,9.94,41486,,2,3,61,61,41494,688,3,-734.33,41725,4,3,61,61,41725,41725,9.94
48,61,41725.88311,358,9.62,41547,,2,3,61,61,41547,688,3,-734.33,41725,4,3,61,61,41725,41725,9.62
49,61,41725.88311,361,9.94,41639,,2,3,61,61,41641,688,3,-734.33,41725,4,3,61,61,41725,41725,9.94
50,61,41725.88311,364,8.98,41718,,2,3,61,61,41718,688,3,-734.33,41725,4,3,61,61,41725,41725,8.98
51,61,42640.80327,19,108,42613,,1,1,61,61,42625,914,3,-108,42640,4,1,61,61,42640,42640,108
52,61,43083.98111,22,951,43069,,1,1,61,61,43077,917,3,-951,43083,4,1,61,61,43083,43083,951
53,61,42222.91482,162,1687.5,42121,,1,7,61,61,42131,1095,3,-1687.5,42222,4,7,61,61,42222,42222,1687.5
54,61,42339.94023,94,241.5,42308,,1,4,61,61,42314,991,3,-241.5,42339,4,4,61,61,42339,42339,241.5
55,61,42394.93995,14,166.75,42369,,1,1,61,61,42382,909,3,-166.75,42394,4,1,61,61,42394,42394,166.75
56,61,42080.93932,92,819.75,42063,,1,4,61,61,42072,989,3,-819.75,42080,4,4,61,61,42080,42080,819.75
57,61,42096.86612,389,1.75,41810,,2,6,61,61,41813,693,3,-2621.61,42096,4,6,61,61,42096,42096,1.75
58,61,42600.94688,99,258,42582,,1,4,61,61,42590,996,3,-258,42600,4,4,61,61,42600,42600,258
59,61,42527.88985,163,1241,42489,,1,7,61,61,42494,1096,3,-1241,42527,4,7,61,61,42527,42527,1241
60,61,43196.9119,107,60,43189,,1,4,61,61,43195,1004,3,-60,43196,4,4,61,61,43196,43196,60
61,61,41725.88311,74,650,41455,,1,3,61,61,41470,688,3,-734.33,41725,4,3,61,61,41725,41725,650
62,61,43326.93198,27,255,43312,,1,1,61,61,43320,922,3,-255,43326,4,1,61,61,43326,43326,255
63,61,41990.90882,90,57.5,41971,,1,4,61,61,41977,987,3,-57.5,41990,4,4,61,61,41990,41990,57.5
64,61,42600.9471,18,318,42582,,1,1,61,61,42590,913,3,-318,42600,4,1,61,61,42600,42600,318
65,61,42443.93453,97,813,42429,,1,4,61,61,42437,994,3,-813,42443,4,4,61,61,42443,42443,813
66,61,41725.88311,357,9.94,41517,,2,3,61,61,41523,688,3,-734.33,41725,4,3,61,61,41725,41725,9.94
67,61,41739.88323,85,1000.5,41729,,1,4,61,61,41734,982,3,-1000.5,41739,4,4,61,61,41739,41739,1000.5
68,61,41929.7093,88,120.75,41912,,1,4,61,61,41920,985,3,-120.75,41929,4,4,61,61,41929,41929,120.75
69,61,42208.84575,145,1175.23,42121,,1,5,61,61,42131,1051,3,-1175.23,42208,4,5,61,61,42208,42208,1175.23
70,61,42096.86612,390,54.34,41841,,2,6,61,61,41841,693,3,-2621.61,42096,4,6,61,61,42096,42096,54.34
71,61,42096.86612,569,54.16,41902,,2,6,61,61,41905,693,3,-2621.61,42096,4,6,61,61,42096,42096,23.76
72,61,42143.87084,93,80.5,42121,,1,4,61,61,42131,990,3,-80.5,42143,4,4,61,61,42143,42143,80.5
73,61,42339.93997,13,402.5,42308,,1,1,61,61,42314,908,3,-402.5,42339,4,1,61,61,42339,42339,402.5
74,61,42394.94017,95,120.75,42369,,1,4,61,61,42382,992,3,-120.75,42394,4,4,61,61,42394,42394,120.75
75,61,42096.86612,153,238,41820,,1,6,61,47,41828,693,3,-2621.61,42096,4,6,61,61,42096,42096,238
76,61,43299.81971,26,50,43281,,1,1,61,102,43286,921,3,-50,43299,4,1,61,61,43299,43299,50
77,61,43447.98212,189,407,43434,,1,8,70,61,43441,1125,3,-407,43447,4,8,61,61,43447,43447,407
78,61,43587.85597,69,880,43572,,1,2,76,61,43572,970,3,-880,43587,4,2,61,61,43587,43587,880
79,61,43332.87084,214,319.5,43312,,1,14,73,61,43320,1150,3,-319.5,43332,4,14,61,61,43332,43332,319.5
80,61,42509.86906,171,1200,42490,,1,11,70,61,42494,1107,3,-1200,42509,4,11,61,61,42509,42509,1200
81,61,43584.86765,190,650,43555,,1,8,70,61,43572,1126,3,-650,43584,4,8,61,61,43584,43584,650
82,61,41814.83297,546,2602.75,41790,,1,1,47,61,41796,900,3,-2515.75,41814,4,1,61,61,41814,41814,2515.75
83,61,42494.85647,183,280,42369,,1,8,70,61,42382,697,3,-288.78,42494,4,8,61,61,42494,42494,280
84,61,42509.86938,184,875,42490,,1,8,70,61,42494,1120,3,-875,42509,4,8,61,61,42509,42509,875
85,61,43206.92741,210,1557.75,43190,,1,14,73,61,43196,1146,3,-1557.75,43206,4,14,61,61,43206,43206,1557.75
86,61,43955.85658,301,1250,43921,,1,17,73,61,43932,1161,3,-1250,43955,4,17,61,61,43955,43955,1250
87,61,43591.9396,166,1152.5,43572,,1,7,76,61,43572,1099,3,-1152.5,43591,4,7,61,61,43591,43591,1152.5
88,61,42401.90892,170,520,42369,,1,11,70,61,42382,1106,3,-520,42401,4,11,61,61,42401,42401,520
89,61,42786.87344,173,101.25,42766,,1,11,70,61,42770,1109,3,-101.25,42786,4,11,61,61,42786,42786,101.25
90,61,41814.83241,86,80,41790,,1,4,47,61,41796,983,3,-80,41814,4,4,61,61,41814,41814,80
91,61,41725.88311,362,9.94,41670,,2,3,61,61,41680,688,3,-734.33,41725,4,3,61,61,41725,41725,9.94
92,61,43619.85245,156,4932.25,43572,,1,6,76,61,43572,1079,3,-4932.25,43619,4,6,61,61,43619,43619,4932.25
93,61,43948.906,298,1500,43921,,1,16,73,61,43932,1160,3,-1500,43948,4,16,61,61,43948,43948,1500
94,61,43591.93901,149,1102.5,43572,,1,5,76,61,43572,1055,3,-1102.5,43591,4,5,61,61,43591,43591,1102.5
95,61,42926.89751,553,4107.75,42886,,1,6,102,102,42893,1070,3,-2130.62,42926,4,6,61,61,42926,42926,2130.62
96,61,42926.90487,553,4107.75,42886,,1,6,102,102,42893,1071,3,-608.34,42926,4,6,61,61,42926,42926,608.34
97,61,42926.90688,553,4107.75,42886,,1,6,102,102,42893,1072,3,-760.44,42926,4,6,61,61,42926,42926,760.44
98,61,43195.87014,165,900,43160,,1,7,102,102,43161,1098,3,-900,43195,4,7,61,61,43195,43195,900
99,61,43487.95304,549,360,43480,,1,4,102,102,43481,1013,3,-280,43487,4,4,61,61,43487,43487,280
100,61,43430.92478,217,215.5,43404,,1,14,102,102,43416,1153,3,-215.5,43430,4,14,61,61,43430,43430,215.5
101,61,43227.86257,188,650,43220,,1,8,70,102,43223,1124,3,-650,43227,4,8,61,61,43227,43227,650
102,61,42877.90042,186,950,42855,,1,8,70,102,42863,1122,3,-950,42877,4,8,61,61,42877,42877,950
103,61,42926.90623,147,1042.2,42855,,1,5,102,102,42863,1053,3,-1042.2,42926,4,5,61,61,42926,42926,1042.2
104,61,43195.86799,554,5321.5,43183,,1,6,102,102,43191,1074,3,-833.88,43195,4,6,61,61,43195,43195,833.88
105,61,43195.87061,554,5321.5,43183,,1,6,102,102,43191,1075,3,-667.09,43195,4,6,61,61,43195,43195,667.09
106,61,43195.87161,554,5321.5,43183,,1,6,102,102,43191,1076,3,-667.1,43195,4,6,61,61,43195,43195,667.1
107,61,43206.93738,554,5321.5,43183,,1,6,102,102,43191,1077,3,-2178.43,43206,4,6,61,61,43206,43206,2178.43
108,61,43594.90503,35,1875,43585,,1,1,102,102,43593,928,3,-1875,43594,4,1,61,61,43594,43594,1875
109,61,43234.88645,211,294.5,43220,,1,14,73,102,43223,1147,3,-294.5,43234,4,14,61,61,43234,43234,294.5
110,61,43263.82745,25,255,43251,,1,1,102,102,43258,920,3,-255,43263,4,1,61,61,43263,43263,255
111,61,43789.86018,120,260,43769,,1,4,102,102,43781,1017,3,-260,43789,4,4,61,61,43789,43789,260
112,61,43166.98331,106,1287.5,43159,,1,4,102,102,43164,1003,3,-1287.5,43166,4,4,61,61,43166,43166,1287.5
113,61,43500.96558,155,951.25,43412,,1,6,102,102,43413,1078,3,-951.25,43500,4,6,61,61,43500,43500,951.25
114,61,43608.88004,337,7500,43585,,1,23,72,102,43594,894,3,-7500,43608,4,23,61,61,43608,43608,7500
115,61,43367.85014,215,1219.2,43343,,1,14,73,102,43351,1151,3,-1219.2,43367,4,14,61,61,43367,43367,1219.2
116,61,43265.86046,293,243.75,43220,,1,12,102,102,43224,698,3,-975,43265,4,12,61,61,43265,43265,243.75
117,61,42996.8537,203,1325,42977,,1,14,73,102,42984,1139,3,-1325,42996,4,14,61,61,42996,42996,1325
118,61,42877.90009,174,1275,42855,,1,11,70,102,42863,1110,3,-1275,42877,4,11,61,61,42877,42877,1275
119,61,43487.91633,218,151,43465,,1,14,102,102,43473,1154,3,-151,43487,4,14,61,61,43487,43487,151
120,61,43357.86888,112,25,43343,,1,4,102,102,43353,1009,3,-25,43357,4,4,61,61,43357,43357,25
121,61,43025.82099,204,1875,43008,,1,14,73,102,43012,1140,3,-1875,43025,4,14,61,61,43025,43025,1875
122,61,42758.94697,172,520,42735,,1,11,70,102,42744,1108,3,-520,42758,4,11,61,61,42758,42758,520
123,61,43122.89943,187,350,43098,,1,8,70,102,43108,1123,3,-350,43122,4,8,61,61,43122,43122,350
124,61,43413.98857,30,115,43404,,1,1,102,102,43409,925,3,-115,43413,4,1,61,61,43413,43413,115
125,61,43073.98296,67,402.5,43033,,1,2,102,102,43046,968,3,-402.5,43073,4,2,61,61,43073,43073,402.5
126,61,43948.89872,555,5082.5,43897,,1,6,76,102,43899,695,3,-4109.63,43948,4,6,61,61,43948,43948,2656.38
127,61,43955.88071,555,5082.5,43897,,1,6,76,102,43899,1081,3,-933.13,43955,4,6,61,61,43955,43955,933.13
128,61,43955.88222,555,5082.5,43897,,1,6,76,102,43899,1082,3,-746.49,43955,4,6,61,61,43955,43955,746.49
129,61,43514.89459,117,1222.5,43503,,1,4,102,102,43504,1014,3,-1222.5,43514,4,4,61,61,43514,43514,1222.5
130,61,43413.98832,114,135,43404,,1,4,102,102,43409,1011,3,-135,43413,4,4,61,61,43413,43413,135
131,61,43269.92529,212,668.5,43257,,1,14,73,102,43258,1148,3,-668.5,43269,4,14,61,61,43269,43269,668.5
132,61,43283.85152,68,832.5,43183,,1,2,102,102,43191,969,3,-832.5,43283,4,2,61,61,43283,43283,832.5
133,61,43286.87537,110,130,43281,,1,4,102,102,43284,1007,3,-130,43286,4,4,61,61,43286,43286,130
134,61,43298.8662,213,156.5,43281,,1,14,73,102,43286,1149,3,-156.5,43298,4,14,61,61,43298,43298,156.5
135,61,43720.92727,119,315,43717,,1,4,102,102,43718,1016,3,-315,43720,4,4,61,61,43720,43720,315
136,61,43907.90163,124,1075,43889,,1,4,102,102,43899,690,3,-1490.75,43907,4,4,61,61,43907,43907,1075
137,61,42885.89593,164,885.95,42855,,1,7,102,102,42863,1097,3,-885.95,42885,4,7,61,61,42885,42885,885.95
138,61,43195.86971,148,1060,43160,,1,5,102,102,43161,1054,3,-1060,43195,4,5,61,61,43195,43195,1060
139,61,43789.85961,37,315,43769,,1,1,102,102,43781,930,3,-315,43789,4,1,61,61,43789,43789,315
140,61,43054.94764,103,452.25,43027,,1,4,102,102,43046,1000,3,-452.25,43054,4,4,61,61,43054,43054,452.25
141,61,43594.90789,118,530,43592,,1,4,102,102,43593,1015,3,-530,43594,4,4,61,61,43594,43594,530
142,61,43111.95452,105,259.86,43097,,1,4,102,102,43105,1002,3,-259.86,43111,4,4,61,61,43111,43111,259.86
143,61,43907.90163,123,415.75,43861,,1,4,102,102,43871,690,3,-1490.75,43907,4,4,61,61,43907,43907,415.75
144,61,43920.91465,70,1275,43897,,1,2,76,102,43899,971,3,-1275,43920,4,2,61,61,43920,43920,1275
145,61,43955.88051,150,1171.63,43897,,1,5,76,102,43899,1056,3,-1171.63,43955,4,5,61,61,43955,43955,1171.63
146,61,44035.86109,126,315,44012,,1,4,102,102,44032,1021,3,-315,44035,4,4,61,61,44035,44035,315
147,61,43809.96281,38,175,43799,,1,1,102,102,43804,931,3,-175,43809,4,1,61,61,43809,43809,175
148,61,42986.86689,553,4107.75,42886,,1,6,102,102,42893,1073,3,-608.35,42986,4,6,61,61,42986,42986,608.35
149,61,43909.94438,305,1400,43897,,1,18,76,102,43899,1162,3,-1400,43909,4,18,61,61,43909,43909,1400
150,61,42885.86324,66,806.5,42855,,1,2,102,102,42863,967,3,-806.5,42885,4,2,61,61,42885,42885,806.5
151,61,42922.87876,102,209.25,42886,,1,4,102,102,42893,999,3,-209.25,42922,4,4,61,61,42922,42922,209.25
152,61,43395.92455,216,353.5,43373,,1,14,58,102,43381,1152,3,-353.5,43395,4,14,61,61,43395,43395,353.5
153,61,43178.8876,209,755.69,43159,,1,14,73,102,43164,1145,3,-755.69,43178,4,14,61,61,43178,43178,755.69
154,61,43185.87153,175,1300,43159,,1,11,70,102,43164,1111,3,-1300,43185,4,11,61,61,43185,43185,1300
155,61,43357.86915,28,45,43343,,1,1,102,102,43353,923,3,-45,43357,4,1,61,61,43357,43357,45
156,61,43720.9271,36,572.5,43717,,1,1,102,102,43718,929,3,-572.5,43720,4,1,61,61,43720,43720,572.5
157,61,43909.9439,309,1400,43897,,1,19,76,102,43899,1167,3,-1400,43909,4,19,61,61,43909,43909,1400
158,61,43963.90379,40,1920,43951,,1,1,102,102,43960,933,3,-1920,43963,4,1,61,61,43963,43963,1920
159,61,44025.92319,192,700,43982,,1,8,70,102,43993,1128,3,-700,44025,4,8,61,61,44025,44025,700
160,61,43955.88182,167,1094.95,43897,,1,7,76,102,43899,1100,3,-1094.95,43955,4,7,61,61,43955,43955,1094.95
161,61,43487.98851,33,120,43480,,1,1,102,102,43481,682,3,-200,43487,4,1,61,61,43487,43487,120
162,61,43514.89421,34,305,43496,,1,1,102,102,43504,927,3,-305,43514,4,1,61,61,43514,43514,305
163,61,43392.91553,113,240,43373,,1,4,102,102,43382,1010,3,-240,43392,4,4,61,61,43392,43392,240
164,61,43392.91572,29,1703.75,43373,,1,1,102,102,43382,924,3,-1703.75,43392,4,1,61,61,43392,43392,1703.75
165,61,43263.82801,109,235,43251,,1,4,102,102,43258,1006,3,-235,43263,4,4,61,61,43263,43263,235
166,61,43809.96302,121,140,43799,,1,4,102,102,43804,1018,3,-140,43809,4,4,61,61,43809,43809,140
167,61,43087.92885,206,758.25,43069,,1,14,73,102,43080,1142,3,-758.25,43087,4,14,61,61,43087,43087,758.25
168,61,43948.89872,157,1453.25,43838,,1,6,102,102,43847,695,3,-4109.63,43948,4,6,61,61,43948,43948,1453.25
169,61,44074.9003,313,200,43913,,1,24,76,102,43924,1172,3,-200,44074,4,24,61,61,44074,44074,200
170,61,43983.8477,191,340,43830,,1,8,70,102,43839,1127,3,-340,43983,4,8,61,61,43983,43983,340
171,61,42758.94655,185,280,42735,,1,8,70,102,42744,1121,3,-280,42758,4,8,61,61,42758,42758,280
172,61,43538.8572,176,1347.5,43524,,1,11,70,102,43533,1112,3,-1347.5,43538,4,11,61,61,43538,43538,1347.5
173,61,43229.81954,24,465,43220,,1,1,102,102,43224,919,3,-465,43229,4,1,61,61,43229,43229,465
174,61,43229.81973,108,60,43220,,1,4,102,102,43224,1005,3,-60,43229,4,4,61,61,43229,43229,60
175,61,42922.87899,21,2306.75,42886,,1,1,102,102,42893,916,3,-2306.75,42922,4,1,61,61,42922,42922,2306.75
176,61,43143.89554,208,1621.2,43131,,1,14,73,102,43136,1144,3,-1621.2,43143,4,14,61,61,43143,43143,1621.2
177,61,43474.97044,116,135,43465,,1,4,102,102,43472,689,3,-215,43474,4,4,61,61,43474,43474,135
178,61,43487.98851,32,80,43465,,1,1,102,102,43472,682,3,-200,43487,4,1,61,61,43487,43487,80
179,61,43115.89334,207,302.25,43100,,1,14,73,102,43108,1143,3,-302.25,43115,4,14,61,61,43115,43115,302.25
180,61,44035.86128,41,385,44012,,1,1,102,102,44032,934,3,-385,44035,4,1,61,61,44035,44035,385
181,102,43481.96695,549,360,43480,,1,4,102,102,43481,689,3,-215,43474,4,4,61,61,43474,43480,80
182,102,43899.73233,567,950,43897,,1,12,76,102,43899,698,3,-975,43265,4,12,61,61,43265,43897,731.25
183,108,43244.84948,400,3.37,43240,,2,6,102,102,43241,694,3,-978.37,43244,4,6,108,108,43244,43244,3.37
184,61,44435.64023,423,177.71,44418,,2,23,61,61,44418,701,3,-6765.04,44435,4,23,61,61,44435,44435,177.71
185,61,44435.64023,422,152.33,44362,,2,23,102,102,44362,701,3,-6765.04,44435,4,23,61,61,44435,44435,152.33
186,61,44454.9351,570,30.18,44362,,2,6,102,102,44362,696,3,-3112.51,44407,4,6,61,61,44407,44407,0.1
187,61,44215.95836,71,440,44192,,1,2,84,61,44200,972,3,-440,44215,4,2,61,61,44215,44215,440
188,61,44273.61004,179,750,44259,,1,11,61,61,44263,1115,3,-750,44273,4,11,61,61,44273,44273,750
189,61,44298.59285,194,400,44267,,1,8,61,61,44271,1129,3,-400,44298,4,8,61,61,44298,44298,400
190,61,44320.68413,295,1075,44261,,1,12,61,61,44264,1157,3,-1075,44320,4,12,61,61,44320,44320,1075
191,61,44517.7015,48,140,44503,,1,1,61,61,44505,684,3,-700,44517,4,1,61,61,44517,44517,140
192,61,44538.66455,131,210,44532,,1,4,61,61,44538,691,3,-2733.95,44356,4,4,61,61,44356,44532,210
193,61,44586.88563,573,180,44586,,1,4,61,61,44742,691,3,-2733.95,44356,4,4,61,61,44356,44586,85
194,61,44589.7599,595,60,44586,,1,1,61,61,44742,937,3,-60,44589,4,1,61,61,44589,44589,60
195,61,44589.76013,573,180,44586,,1,4,61,61,44742,1023,3,-95,44589,4,4,61,61,44589,44589,95
196,61,44658.61001,134,180,44652,,1,4,61,61,44742,1026,3,-180,44658,4,4,61,61,44658,44658,180
197,61,44691.66981,53,1675,44684,,1,1,61,61,44686,942,3,-1675,44691,4,1,61,61,44691,44691,1675
198,61,44985.71459,659,1360,44959,,1,23,61,61,44959,703,3,-3743.75,44985,4,23,61,61,44985,44985,1360
199,61,44853.69087,315,1050,44792,,1,24,61,61,44796,1174,3,-1050,44853,4,24,61,61,44853,44853,1050
200,61,44330.72009,311,1075,44261,,1,19,61,61,44264,1169,3,-1075,44330,4,19,61,61,44330,44330,1075
201,61,44580.73187,320,300.35,44538,,1,22,61,61,44543,1176,3,-300.35,44580,4,22,61,61,44580,44580,300.35
202,61,44642.72985,308,1600,44623,,1,18,61,61,44630,1165,3,-1600,44642,4,18,61,61,44642,44642,1600
203,61,44841.62495,152,1525,44802,,1,5,61,61,44805,1058,3,-1525,44841,4,5,61,61,44841,44841,1525
204,61,44883.72253,645,2000,44861,,1,10,61,61,44862,1137,3,-2000,44883,4,10,61,61,44883,44883,2000
205,108,43244.84948,554,5321.5,43183,,1,6,102,102,43191,694,3,-978.37,43244,4,6,108,108,43244,43244,975
206,61,44756.63686,54,105,44740,,1,1,61,61,44750,944,3,-105,44756,4,1,61,61,44756,44756,105
207,61,45112.65735,197,905,45034,,1,8,61,61,45034,1133,3,-905,45112,4,8,61,61,45112,45112,905
208,61,44225.96272,127,390,44192,,1,4,61,61,44203,1022,3,-390,44225,4,4,61,61,44225,44225,390
209,61,44250.90492,42,797,44239,,1,1,61,61,44243,935,3,-797,44250,4,1,61,61,44250,44250,797
210,61,44496.6025,348,800,44469,,1,23,72,61,44473,897,3,-800,44496,4,23,61,61,44496,44496,800
211,61,44671.67907,135,70,44657,,1,4,61,61,44665,1027,3,-70,44671,4,4,61,61,44671,44671,70
212,61,44722.67182,656,745,44624,,1,23,61,61,44624,702,3,-11012.5,44722,4,23,61,61,44722,44722,745
213,61,44985.677,604,161.14,44971,,1,1,61,61,44971,948,3,-161.14,44985,4,1,61,61,44985,44985,161.14
214,61,45019.7078,666,1850,45000,,1,19,61,61,45000,1171,3,-1850,45019,4,19,61,61,45019,45019,1850
215,61,45020.59898,639,3750,44993,,1,6,61,61,44993,1090,3,-3750,45020,4,6,61,61,45020,45020,3750
216,61,41914.83093,161,142.5,41882,,1,7,61,61,41892,1094,3,-142.5,41914,4,7,61,61,41914,41914,142.5
217,61,45069.60073,627,70,45057,,1,4,61,61,45057,1036,3,-70,45069,4,4,61,61,45069,45069,70
218,61,44404.6378,556,3750,44340,,1,6,84,61,44343,1084,3,-937.6,44404,4,6,61,61,44404,44404,937.6
219,61,44407.60742,556,3750,44340,,1,6,84,61,44343,696,3,-3112.51,44407,4,6,61,61,44407,44407,1312.41
220,61,44454.87382,556,3750,44340,,1,6,84,61,44343,1085,3,-750,44404,4,6,61,61,44404,44404,750
221,61,44454.93357,556,3750,44340,,1,6,84,61,44343,1083,3,-749.99,44393,4,6,61,61,44393,44393,749.99
222,61,44364.62934,43,120,44255,,1,1,61,61,44252,683,3,-2144,44364,4,1,61,61,44364,44364,120
223,61,44517.7015,47,560,44477,,1,1,61,61,44482,684,3,-700,44517,4,1,61,61,44517,44517,560
224,61,44629.73852,597,140,44624,,1,1,61,61,44627,939,3,-140,44629,4,1,61,61,44629,44629,140
